AÑO;MES;DÍA;INDICE_NOMINAL;RENT_ANUAL_IN;INDICE_REAL;RENT_ANUAL_IR
2010;Diciembre;10;176.05;0.0143;147.32;-0.0118
2010;Diciembre;11;176.08;0.0148;147.34;-0.0122
2010;Diciembre;12;176.11;0.015;147.36;-0.0121
2010;Diciembre;13;176.14;0.0151;147.5;-0.0112
2010;Diciembre;14;176.15;0.0143;147.47;-0.0123
2010;Diciembre;15;175.94;0.0158;147.37;-0.0122
2010;Diciembre;16;175.76;0.0129;147.68;-0.0126
2010;Diciembre;17;175.87;0.0175;148.09;-0.0105
2010;Diciembre;18;175.91;0.0177;148.11;-0.0105
2010;Diciembre;19;175.94;0.0179;148.13;-0.0104
2010;Diciembre;20;176.29;0.0199;148.16;-0.0102
2010;Diciembre;21;176.78;0.0237;149.04;-0.0065
2010;Diciembre;22;177.51;0.0303;148.77;-0.0067
2010;Diciembre;23;177.44;0.0293;146.47;-0.0233
2010;Diciembre;24;177.48;0.0286;146.71;-0.0216
2010;Diciembre;25;177.51;0.0288;146.73;-0.0215
2010;Diciembre;26;177.54;0.029;146.75;-0.0213
2010;Diciembre;27;177.57;0.0291;146.53;-0.0227
2010;Diciembre;28;177.45;0.0287;146.54;-0.0242
2010;Diciembre;29;177.41;0.029;146.54;-0.0237
2010;Diciembre;30;177.43;0.0284;147.92;-0.0156
2011;Enero;3;177.75;0.0301;148.22;-0.0145
2011;Enero;4;178.13;0.0325;148.72;-0.011
2011;Enero;5;178;0.0274;148.63;-0.0123
2011;Enero;6;177.91;0.0264;148.34;-0.0142
2011;Enero;7;178.21;0.0259;148.71;-0.012
2011;Enero;10;178.42;0.0289;149.12;-0.005
2011;Enero;11;178.36;0.0296;146.82;-0.0172
2011;Enero;12;178.34;0.0326;146.84;-0.0137
2011;Enero;13;178.6;0.0337;146.8;-0.0167
2011;Enero;14;178.7;0.0364;146.83;-0.0112
2011;Enero;17;178.83;0.0408;146.88;-0.0067
2011;Enero;18;178.83;0.0404;147.13;-0.001
2011;Enero;19;178.92;0.0408;147.04;0.0041
2011;Enero;20;178.77;0.0395;147.02;0.0071
2011;Enero;21;178.54;0.0392;146.94;0.0084
2011;Enero;24;178.5;0.0437;146.98;0.018
2011;Enero;25;178.56;0.0439;146.92;0.0182
2011;Enero;26;178.52;0.0453;146.94;0.0186
